Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1X 1S1,35 to 44,Female,49.884925,-119.392729,Mary Irwin Theatre,V1Y 6Z1,49.891742,-119.493626,8.949
V1V 3A8,19 to 24,Female,49.922808,-119.402338,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,10.742
V1V 3A8,19 to 24,Female,49.922808,-119.402338,Mary Irwin Theatre,V1Y 6Z1,49.891742,-119.493626,10.303
V1Y 7B3,25 to 34,Male,49.893006,-119.467461,,,,,
V1X 7E8,0 to 18,Female,49.89216261,-119.3870404,,,,,
V1Y 2Z5,45 to 54,Female,49.879758,-119.482764,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,2.009
V1Y 2Z5,45 to 54,Female,49.879758,-119.482764,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,1.611
V1Y 2Z5,45 to 54,Female,49.879758,-119.482764,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,1.965
V1W 5B9,45 to 54,Female,49.807473,-119.47818,,,,,
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,4.74
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,4.663
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.364
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,4.601
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,4.428
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,The Laurel Packinghouse,V1Y 1Z9,49.889195,-119.493507,4.45
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Prospera Place,V1Y 9V1,49.892657,-119.496618,5.224
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Parkinson Recreation Centre,V1Y 4P9,49.883203,-119.456992,5.998
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Water Street Senior Centre,V1Y 1J1,49.8885895,-119.4965745,4.364
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Black Box Theatre,V1Y 9P4,49.891643,-119.496589,4.713
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,First United Church,V1Y 6P6,49.8863165,-119.486017,3.951
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,4.252
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,3.812
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Kasugai Gardens,V1Y 1J4,49.888127,-119.496436,3.794
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,3.656
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,3.493
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,4.326
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Waterfront Park,V1Y 9R7,49.897295,-119.499295,4.227
V1Y 4P9,65 and up,Female,49.883203,-119.456992,Kelowna City Park,V1Y 1B7,49.880541,-119.499303,3.972
V1W 0A1,35 to 44,Female,49.833732,-119.48361,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,7.289
V1W 0A1,35 to 44,Female,49.833732,-119.48361,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,7.067
V1W 0A1,35 to 44,Female,49.833732,-119.48361,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,7.052
